plate_pair,plate,well,ecotype,site,seed_family,water_potential,cold_stratification,Date,Day
21,21_A,21_A_E,Semelparous,S3,S3_14,0,Not cold stratified,5/12/23,18
21,21_A,21_A_F,Semelparous,S2,S2_4,-0.5,Cold stratified,4/26/23,2
21,21_A,21_A_F,Semelparous,S2,S2_4,-0.5,Cold stratified,4/26/23,2
21,21_A,21_A_F,Semelparous,S2,S2_4,-0.5,Cold stratified,4/26/23,2
21,21_A,21_A_F,Semelparous,S2,S2_4,-0.5,Cold stratified,5/5/23,11
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_A,Iteroparous,I3,I3_16,0,Cold stratified,4/28/23,4
21,21_B,21_B_D,Semelparous,S1,S1_29,0,Cold stratified,4/28/23,4
21,21_B,21_B_D,Semelparous,S1,S1_29,0,Cold stratified,5/1/23,7
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/3/23,9
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/5/23,11
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/12/23,18
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/12/23,18
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/15/23,21
21,21_B,21_B_E,Iteroparous,I2,I2_1,-1,Not cold stratified,5/15/23,21
22,22_A,22_A_B,Semelparous,S3,S3_7,-0.5,Cold stratified,4/25/23,1
22,22_A,22_A_B,Semelparous,S3,S3_7,-0.5,Cold stratified,4/25/23,1
22,22_A,22_A_B,Semelparous,S3,S3_7,-0.5,Cold stratified,4/25/23,1
22,22_A,22_A_B,Semelparous,S3,S3_7,-0.5,Cold stratified,4/28/23,4
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,4/28/23,4
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/1/23,7
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/1/23,7
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/1/23,7
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/1/23,7
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/1/23,7
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/3/23,9
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/3/23,9
22,22_A,22_A_C,Iteroparous,I2,I2_9,-0.5,Not cold stratified,5/8/23,14
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,4/28/23,4
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,4/28/23,4
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,4/28/23,4
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,4/28/23,4
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,4/28/23,4
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,5/1/23,7
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,5/1/23,7
22,22_B,22_B_A,Semelparous,S1,S1_15,0,Not cold stratified,5/5/23,11
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,4/28/23,4
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,4/28/23,4
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,4/28/23,4
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,4/28/23,4
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,4/28/23,4
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,5/1/23,7
22,22_B,22_B_F,Semelparous,S2,S2_9,-0.5,Cold stratified,5/1/23,7
23,23_A,23_A_D,Semelparous,S1,S1_11,0,Not cold stratified,4/26/23,2
